Settlement,StatisticGroup,StatisticGroupKod,Year,Count,NumResidents,CrimeRate,DistrictName
אבו גוש,עבירות בטחון,100,2020,11,7942,0.14%,ירושלים
אבו גוש,עבירות כלפי המוסר,600,2020,28,7942,0.35%,ירושלים
אבו גוש,עבירות כלפי הרכוש,700,2020,67,7942,0.84%,ירושלים
אבו גוש,עבירות מין,500,2020,7,7942,0.09%,ירושלים
אבו גוש,עבירות מרמה,800,2020,19,7942,0.24%,ירושלים
אבו גוש,עבירות נגד אדם,300,2020,1,7942,0.01%,ירושלים
אבו גוש,עבירות נגד גוף,400,2020,110,7942,1.39%,ירושלים
אבו גוש,עבירות סדר ציבורי,200,2020,202,7942,2.54%,ירושלים
אבו גוש,עבירות רשוי,1100,2020,2,7942,0.03%,ירושלים
אבו גוש,עבירות תנועה,10000,2020,4,7942,0.05%,ירושלים
אבו גוש,כל העבירות,-2,2020,451,7942,5.68%,ירושלים
אבו סנאן,עבירות בטחון,100,2020,18,14687,0.12%,צפון
אבו סנאן,עבירות כלכליות,900,2020,1,14687,0.01%,צפון
אבו סנאן,עבירות כלפי המוסר,600,2020,39,14687,0.27%,צפון
אבו סנאן,עבירות כלפי הרכוש,700,2020,105,14687,0.71%,צפון
אבו סנאן,עבירות מין,500,2020,3,14687,0.02%,צפון
אבו סנאן,עבירות מרמה,800,2020,21,14687,0.14%,צפון
אבו סנאן,עבירות נגד אדם,300,2020,2,14687,0.01%,צפון
אבו סנאן,עבירות נגד גוף,400,2020,90,14687,0.61%,צפון
אבו סנאן,עבירות סדר ציבורי,200,2020,226,14687,1.54%,צפון
אבו סנאן,עבירות רשוי,1100,2020,3,14687,0.02%,צפון
אבו סנאן,עבירות תנועה,10000,2020,1,14687,0.01%,צפון
אבו סנאן,כל העבירות,-2,2020,509,14687,3.47%,צפון
אבן יהודה,עבירות בטחון,100,2020,1,14365,0.01%,מרכז
אבן יהודה,עבירות כלפי המוסר,600,2020,24,14365,0.17%,מרכז
אבן יהודה,עבירות כלפי הרכוש,700,2020,115,14365,0.80%,מרכז
אבן יהודה,עבירות מין,500,2020,2,14365,0.01%,מרכז
אבן יהודה,עבירות מרמה,800,2020,21,14365,0.15%,מרכז
אבן יהודה,עבירות נגד גוף,400,2020,48,14365,0.33%,מרכז
אבן יהודה,עבירות סדר ציבורי,200,2020,131,14365,0.91%,מרכז
אבן יהודה,עבירות רשוי,1100,2020,1,14365,0.01%,מרכז
